sample-id	mmm.m	mmm.sd	plot	tag	species	treatment	nutrient	time	time.trt	time.trt.sp	combo	indiv	seq_depth	bleaching	per_bleach
May2016.105poc	28.5366871	0.031250527	1H	105	POC	C	control	T2	T2_C	T2_C_POC	POC_C_T6	POC_105	438	0	0
July2016.poc105	27.05674516	0.02117185	1H	105	POC	C	control	T3	T3_C	T3_C_POC	POC_C_T9	POC_105	1255	0	0
Jan2017.poc105	29.10646774	0.064776697	1H	105	POC	C	control	T6	T6_C	T6_C_POC	POC_C_T12	POC_105	7306	0	0
Jan2016.poc113	28.70592	0.037590634	4	113	POC	C	control	T0	T0_C	T0_C_POC	POC_U_T0	POC_113	21	0	0
March2016.poc113	29.26056129	0.094100803	4	113	POC	U	nutrient	T1	T1_U	T1_U_POC	POC_U_T3	POC_113	1491	0	0
May2016.113poc	28.5366871	0.031250527	4	113	POC	U	nutrient	T2	T2_U	T2_U_POC	POC_U_T6	POC_113	61	0	0
July2016.poc113	27.05674516	0.02117185	4	113	POC	U	nutrient	T3	T3_U	T3_U_POC	POC_U_T9	POC_113	2202	0	0
Jan2017.poc113	29.10646774	0.064776697	4	113	POC	U	nutrient	T6	T6_U	T6_U_POC	POC_U_T12	POC_113	819	0	0
Jan2016.poc120	28.70592	0.037590634	3	120	POC	C	control	T0	T0_C	T0_C_POC	POC_N_T0	POC_120	88	0	0
March2016.poc120	29.26056129	0.094100803	3	120	POC	N	nutrient	T1	T1_N	T1_N_POC	POC_N_T3	POC_120	3732	0	0
May2016.120poc	28.5366871	0.031250527	3	120	POC	N	nutrient	T2	T2_N	T2_N_POC	POC_N_T6	POC_120	91	1	6
July2016.poc120	27.05674516	0.02117185	3	120	POC	N	nutrient	T3	T3_N	T3_N_POC	POC_N_T9	POC_120	12018	0	0
Jan2017.poc120	29.10646774	0.064776697	3	120	POC	N	nutrient	T6	T6_N	T6_N_POC	POC_N_T12	POC_120	4512	0	0
Jan2016.poc125	28.70592	0.037590634	1	125	POC	C	control	T0	T0_C	T0_C_POC	POC_N_T0	POC_125	618	0	0
March2016.poc125	29.26056129	0.094100803	1	125	POC	N	nutrient	T1	T1_N	T1_N_POC	POC_N_T3	POC_125	1456	0	0
